code,id,level,name,description,path
14180,GNeHrA9TIL2,4,10 Engineer VCT,Facility,/CLmPcJmOc90/Sz1ubc08ZfO/FE87Ga3eEyA/GNeHrA9TIL2
17486,u4t703x2nM2,4,12 Engineers,Facility,/CLmPcJmOc90/JVu73wvtLRy/psNsqkE7qHA/u4t703x2nM2
28290,Ba39ePUk4jc,4,360 Health Care Centre,Facility,/CLmPcJmOc90/dmDogAeDBUk/q67BVOnet4Y/Ba39ePUk4jc
18772,tUT1gmZcq7u,4,360 Medicare  Clinic,Facility,/CLmPcJmOc90/dz3Rvaxvruj/yJRE4Mku8kU/tUT1gmZcq7u
14181,zT3uJIUTEy1,4,3KR Health Centre,Facility,/CLmPcJmOc90/DDLOpuTc53A/fu4M7Lxhmoq/zT3uJIUTEy1
11917,EW2bB6BC8qW,4,78 Tank Battalion Dispensary,Facility,/CLmPcJmOc90/lbeoP5aqj46/UOl8Z0tmDNm/EW2bB6BC8qW
13043,LuAmH0QYmXI,4,7KR MRS Health Centre,Facility,/CLmPcJmOc90/N4pRUs2e6nC/jckhtzFCuXZ/LuAmH0QYmXI
14182,kLHH2F61Grg,4,8th Street Clinic,Facility,/CLmPcJmOc90/N7YLmjBdnTj/sWxntg8W9NI/kLHH2F61Grg
18137,cWS52WyF1vP,4,A to Z Quality Health Family Health Services,Facility,/CLmPcJmOc90/DDLOpuTc53A/e5TVZ0WsDTf/cWS52WyF1vP
15837,mX2mjPqzuiN,4,A.C.K Butonge Dispensary,Facility,/CLmPcJmOc90/ARXMjK29sXR/bjzbZqLYhJ9/mX2mjPqzuiN
20346,uWde0rJbxII,4,AAR Adams Health Centre,Facility,/CLmPcJmOc90/N4pRUs2e6nC/tumj0X12gj4/uWde0rJbxII
12861,kQu0hqo83XS,4,AAR City Centre Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/mHHDuaNQ0cg/kQu0hqo83XS
16796,wgTaUAV8zvY,4,AAR Clinic Sarit Centre Westlands,Facility,/CLmPcJmOc90/N4pRUs2e6nC/tumj0X12gj4/wgTaUAV8zvY
23439,bfwQju6gNrn,4,AAR Donholm,Facility,/CLmPcJmOc90/N4pRUs2e6nC/Q0f8XHuM3Ge/bfwQju6gNrn
18178,xBfP9u1imf5,4,AAR Eldoret,Facility,/CLmPcJmOc90/UXYPH7r9pX8/mVXfaDmbkru/xBfP9u1imf5
19958,VW7QM5iuGcm,4,AAR Gwh Health Care Ltd,Facility,/CLmPcJmOc90/N4pRUs2e6nC/vrvHKMOXRpN/VW7QM5iuGcm
20405,s5XOK7EQ6Lc,4,AAR Health Care,Facility,/CLmPcJmOc90/N4pRUs2e6nC/Q0f8XHuM3Ge/s5XOK7EQ6Lc
21981,WdS0Is8u1VW,4,AAR Health Care Ruaka,Facility,/CLmPcJmOc90/JVu73wvtLRy/UhPC74YNAyL/WdS0Is8u1VW
20956,UExPKfY7Inp,4,AAR Health Care-Kisumu,Facility,/CLmPcJmOc90/nHQUNlWL1nk/WYXUeMuvgPq/UExPKfY7Inp
20940,LVJW2PT8gi0,4,AAR Healthcare,Facility,/CLmPcJmOc90/JVu73wvtLRy/psNsqkE7qHA/LVJW2PT8gi0
23611,EE9CHM6ibH8,4,AAR Healthcare buruburu,Facility,/CLmPcJmOc90/N4pRUs2e6nC/SADs1IhMZEi/EE9CHM6ibH8
24542,lBdRw33y4lW,4,AAR Healthcare K Limited,Facility,/CLmPcJmOc90/N4pRUs2e6nC/jckhtzFCuXZ/lBdRw33y4lW
18859,wy18EpaTrN8,4,AAR Healthcare Limited Karen,Facility,/CLmPcJmOc90/N4pRUs2e6nC/jckhtzFCuXZ/wy18EpaTrN8
28752,u9llP57kdXP,4,AAR Healthcare Rongai,Facility,/CLmPcJmOc90/N7YLmjBdnTj/ukbFoVU66iD/u9llP57kdXP
25948,CguYKlYctYL,4,AAR Healthcare Services Syokimau Outpatient Centre,Facility,/CLmPcJmOc90/gkETYmAZcrw/wIaXaHsbNyz/CguYKlYctYL
28355,HCyycveO6Rp,4,AAR Hospital - Muthaiga,Facility,/CLmPcJmOc90/N4pRUs2e6nC/Zge9Si2OJHc/HCyycveO6Rp
12862,S72ab7imgYo,4,AAR Kariobangi Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/UXrdyWmFLV4/S72ab7imgYo
25937,R3bCJuiAErD,4,AAR Lavington OPC,Facility,/CLmPcJmOc90/N4pRUs2e6nC/vrvHKMOXRpN/R3bCJuiAErD
11194,qZUtDsdLD3J,4,AAR Medical Services Docks,Facility,/CLmPcJmOc90/dmDogAeDBUk/YodfQpviQz1/qZUtDsdLD3J
20140,d5O767mPQcE,4,AAR Mountain mall,Facility,/CLmPcJmOc90/N4pRUs2e6nC/Zge9Si2OJHc/d5O767mPQcE
14183,ODo0C3behE7,4,AAR Nakuru Clinic,Facility,/CLmPcJmOc90/DDLOpuTc53A/VH8TM17nG0i/ODo0C3behE7
21862,ZtRncWVZNWE,4,AAR Ngong Clinic,Facility,/CLmPcJmOc90/N7YLmjBdnTj/ukbFoVU66iD/ZtRncWVZNWE
22165,YJB5x9YZqIN,4,AAR Nyali HeallthcareK LTD Nyali,Facility,/CLmPcJmOc90/dmDogAeDBUk/q67BVOnet4Y/YJB5x9YZqIN
12863,APZfMTsnngZ,4,AAR Thika Road Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/Zge9Si2OJHc/APZfMTsnngZ
18821,Xl0AP3rwUYe,4,Abakaile Dispensary,Facility,/CLmPcJmOc90/bSpKE38mB85/JyGRiJHt5La/Xl0AP3rwUYe
13265,kaXQtfG24nc,4,Abakore Sub District Hospital,Facility,/CLmPcJmOc90/xKAATm8Pwru/M0avu3TKU0y/kaXQtfG24nc
12864,PMRdgNX5BV9,4,Abandoned Child Care,Facility,/CLmPcJmOc90/N4pRUs2e6nC/DMNo19odMXd/PMRdgNX5BV9
19484,QNTkdK9xCjR,4,Abby Medical Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/tumj0X12gj4/QNTkdK9xCjR
12126,ONwOLvFOlRB,4,ABC Thange Dispensary,Facility,/CLmPcJmOc90/XSYyvN40EF7/tAxImfi8HMk/ONwOLvFOlRB
24214,POjzXL03Omy,4,ABDALLAH & ASSOCIATES DENTAL AND IMPLANT CENTRE,Facility,/CLmPcJmOc90/N4pRUs2e6nC/mHHDuaNQ0cg/POjzXL03Omy
27326,EdGZEFRwSsq,4,Abdigaaney Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/argk7SYQTLp/EdGZEFRwSsq
17009,XKBAh7KIgEE,4,Abdisamad Dispensary,Facility,/CLmPcJmOc90/bSpKE38mB85/Vl4Hk1IjI8j/XKBAh7KIgEE
20689,nvmTnml42vP,4,Abdiwaqo Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/RSoPwTBUXAF/nvmTnml42vP
10002,QwS9Mf47ywT,4,Aberdare  Medical & Surgical Clinic,Facility,/CLmPcJmOc90/i7hqxf9ShvM/Vq7jwqQTimA/QwS9Mf47ywT
21416,B3p04N8VDQ1,4,Aberdare Medical Centre Ltd,Facility,/CLmPcJmOc90/xtHuM0oS6KO/JOoFtKjDGv8/B3p04N8VDQ1
13461,p7tA3aJtGVI,4,Abidha Health Centre,Facility,/CLmPcJmOc90/dH8T2PLdfSP/PzZX2vLsHlf/p7tA3aJtGVI
24008,m1Q2FPa5SAh,4,Abigael Health Care Centre,Facility,/CLmPcJmOc90/UXYPH7r9pX8/pRWNi6nroWg/m1Q2FPa5SAh
24871,IRFoKwecCVu,4,ABISHAG MEDICAL CLINIC,Facility,/CLmPcJmOc90/NgMqkVjFIKY/JBJJTWdwdxx/IRFoKwecCVu
16716,VJQnjVXfJnF,4,Able Medical Clinic,Facility,/CLmPcJmOc90/Ix2Au4Km9ew/kau67MwiZxx/VJQnjVXfJnF
